epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8916616244394271,0.6769125683060109,2.360452963755681,0.358974358974359
2,0.32874468604072193,0.9091530054644809,1.2697859910818248,0.5096153846153846
3,0.19309974539149655,0.9494535519125683,1.0053037038216224,0.6185897435897436
4,0.12099623480618325,0.9631147540983607,0.11700160266497196,0.9839743589743589
5,0.0817915710513709,0.9795081967213115,0.4479613938392737,0.7660256410256411
6,0.06531654192450267,0.9808743169398907,0.08137894956729351,0.9807692307692307
7,0.07629441482121826,0.9836065573770492,1.5655187979722633,0.5256410256410257
8,0.059280413045176394,0.9849726775956285,0.019150897370985687,1.0
9,0.04880475577048428,0.9836065573770492,0.03575836489788997,0.9903846153846154
10,0.02861737543360783,0.9924863387978142,2.508130608460842,0.5897435897435898
11,0.02927031449698767,0.9918032786885246,0.44015677999227476,0.7724358974358975
12,0.022743299323556527,0.9959016393442623,0.011111603858761298,0.9967948717948718
13,0.014204855736019345,0.9979508196721312,0.5274550945330889,0.7660256410256411
14,0.06537218834400747,0.980191256830601,4.853056167944883,0.33974358974358976
15,0.039751531668210945,0.9890710382513661,0.011864835396409035,1.0
16,0.016674697699401875,0.9986338797814208,0.008219431232040128,1.0
17,0.01666964983944196,0.9979508196721312,0.8899733638152098,0.6442307692307693
18,0.006090979740059238,1.0,0.0023917264084164533,1.0
19,0.02377240165884866,0.9924863387978142,5.58472046485314,0.5
20,0.03958908077125829,0.9883879781420765,1.675821582476298,0.5384615384615384
21,0.01732471506772919,0.9979508196721312,0.06628046318506584,0.9743589743589743
22,0.024316109994889486,0.994535519125683,2.3103668628594813,0.5448717948717948
23,0.00852208882264915,1.0,0.0020666501129595325,1.0
24,0.0057037878728120545,0.9993169398907104,0.0006056202886005243,1.0
25,0.11308972506028157,0.9583333333333334,1.877567450205485,0.47435897435897434
26,0.04613937241091429,0.9829234972677595,0.010661221777972503,1.0
27,0.046602050941742836,0.9870218579234973,0.03131417954006256,0.9935897435897436
28,0.01485410844652705,0.9972677595628415,0.008392266851539413,0.9967948717948718
29,0.007881805193839504,0.9993169398907104,0.016565838542122107,0.9967948717948718
30,0.0066849378044488,0.9993169398907104,0.0010588226245883375,1.0
31,0.005164632796376048,0.9993169398907104,0.0012831937205285216,1.0
32,0.003912856881862985,1.0,0.0013174678509434064,1.0
33,0.012758483843053461,0.9979508196721312,0.012351352530412184,1.0
34,0.005186972895521376,1.0,0.024654326435082998,1.0
35,0.003370347399712423,1.0,0.0005420074396683142,1.0
36,0.0020132440031325454,1.0,0.0003266710603687291,1.0
37,0.005670287760542044,0.9986338797814208,0.0007365679589267343,1.0
38,0.0022085032003894803,1.0,0.0005514731291884509,1.0
39,0.03424811034521872,0.985655737704918,26.303590872348884,0.2532051282051282
40,0.013332035571916914,0.9965846994535519,0.22043433021276426,0.8814102564102564
41,0.008429174258658672,0.9979508196721312,0.0025306938705631555,1.0
42,0.0045721027631149755,0.9993169398907104,0.00048604824517566996,1.0
43,0.0023156133791447054,1.0,0.00035944281150407804,1.0
44,0.01713476614241585,0.994535519125683,16.367303897172977,0.3301282051282051
45,0.03800286358932308,0.9883879781420765,0.6880942292702503,0.657051282051282
46,0.006075578195595086,0.9993169398907104,0.0012401020757328623,1.0
47,0.004535940284280951,0.9993169398907104,0.018644759049400304,1.0
48,0.013764642290338426,0.9972677595628415,0.9841916805658585,0.7692307692307693
49,0.0032402580647533405,1.0,0.0012175476802393603,1.0
50,0.0043431741698858805,0.9993169398907104,0.004177432495336502,1.0
