iteration,train_mlogloss,validation_mlogloss
0,4.109773259801524,4.130117344930768
1,3.7937215456650373,3.8298998690396546
2,3.555943261924244,3.6098836255818605
3,3.3624800276188624,3.4324974084645508
4,3.1989619817904065,3.2826805517077444
5,3.0557964742893264,3.1514723996073006
6,2.9308437391406015,3.0400045378878713
7,2.818645479906173,2.9387693098559975
8,2.719309983530215,2.8494545041397212
9,2.626465279672827,2.7646935348957777
10,2.5413249350871356,2.6890224669501186
11,2.4637815489442576,2.620844245441258
12,2.392792991229466,2.5584294573962687
13,2.3251593861054807,2.49814543761313
14,2.2618944322779067,2.4424617475271226
15,2.202647745148057,2.3909264916181563
16,2.1468173394139325,2.341821408160031
17,2.0944823677979763,2.296178036630154
18,2.0444133742792268,2.252738222517073
19,1.9975994152114505,2.211646166704595
20,1.9532922154381163,2.1732137278467416
21,1.910744881860557,2.136165760550648
22,1.870107102638909,2.1012689384818075
23,1.831360063843784,2.0679814750514924
24,1.793522276470349,2.0355447374284266
25,1.7573128384209815,2.0047758029028775
26,1.7230783051429759,1.975421618577093
27,1.6896862061002424,1.946605268716812
28,1.6580070687670794,1.919769190493971
29,1.6275261104674565,1.8949024119134992
30,1.5980951754571426,1.8705472160130738
31,1.570026792853716,1.8466896722186357
32,1.542497646716379,1.8236353951878845
33,1.516093756758741,1.801108919782564
34,1.4900992773420045,1.7800340206176042
35,1.4654948277860171,1.759797397861257
36,1.441587765300203,1.7402570788841694
37,1.418622041465271,1.7214086691010744
38,1.3964284664356992,1.7032574430201202
39,1.3750125639601833,1.6861613756604492
40,1.3539874898216555,1.669671423016116
41,1.3335851671901486,1.6532109401654451
42,1.3140291542187332,1.6375575059838594
43,1.294633049689943,1.622175264484249
44,1.2761043380342778,1.607232398209162
45,1.2578578938322054,1.5926799389813096
46,1.2401225796058064,1.5787570475786925
47,1.22311151888665,1.5654467853950336
48,1.2062541456201248,1.5523045403324067
49,1.1901998788038535,1.5396228303480894
50,1.1746095247628787,1.5274802924040705
51,1.1588552113897388,1.5153111466765403
52,1.1437897334549398,1.5041844426933677
53,1.1291786328233069,1.492899260437116
54,1.1147370494432038,1.4823154274467378
55,1.100496679128458,1.4715865320293233
56,1.0869461474753916,1.461323265451938
57,1.0735714045326625,1.451420976743102
58,1.060507195208754,1.4415895225573332
59,1.047572439039747,1.4325334033370019
60,1.034918227443649,1.423468466042541
61,1.0228380399818222,1.4146244148211553
62,1.0111211002977298,1.406440966471564
63,0.9995581231532352,1.3984878699132242
64,0.9882558369357138,1.3904198311059737
65,0.9769260127842426,1.3824935066956094
66,0.9660241801189702,1.3748294374812395
67,0.9551423070961166,1.3672552027227356
68,0.9447371035344189,1.359963231086731
69,0.9343445887243641,1.3525518749374896
70,0.9244321108361085,1.3453544113924727
71,0.914273483340318,1.3383096618927084
72,0.9046928179099979,1.3319709658622743
73,0.8950426862832336,1.325877008421812
74,0.8855871943770243,1.319488815558143
75,0.8763180888945326,1.3133786039194093
76,0.8671026651998095,1.3076508147001733
77,0.8583018900961837,1.3015688381006476
78,0.8496536301171762,1.2958672916260547
79,0.8413105176642005,1.2902370603533928
80,0.832962194202867,1.2849875072517898
81,0.8246268776063586,1.2796272000565658
82,0.816398269471801,1.274400367597118
83,0.8083811914705715,1.2696082409727387
84,0.8006675623787478,1.2647242580365856
85,0.793102406339853,1.260169697626261
86,0.7857646160413112,1.255997487467248
87,0.7783838647344549,1.2515579960751346
88,0.7713787479181996,1.2472813312185462
89,0.764206436366242,1.243094183774665
90,0.7569690954612036,1.238990209198091
91,0.7500640067078972,1.2350352540810128
92,0.7434119836440576,1.2311318184435367
93,0.7370250314214666,1.227348130805185
94,0.7303634516848251,1.2236419431865215
95,0.724127870690898,1.2199808601598487
96,0.7177507204997042,1.2164631944149733
97,0.7116393526962825,1.2134935690776911
98,0.7052514672253858,1.2100993729959009
99,0.6990301814622113,1.2068494180578273
100,0.6929371815988616,1.2037621300230967
101,0.6868991980507659,1.2006322733935668
102,0.6810321687994569,1.1972956609289396
103,0.6752716349253786,1.1944614285492572
104,0.6695940024074212,1.1913326985982713
105,0.664158643000604,1.1885590796824546
106,0.6584686569800777,1.1860224834730615
107,0.6529509616744084,1.1832990583049832
108,0.6475570954499944,1.180914756457205
109,0.6421653878785271,1.1783622306474717
110,0.6367549096795154,1.175816373907728
111,0.6315991180482143,1.1734616200375603
112,0.6265085489132131,1.1711344335839384
113,0.6213804538289107,1.169249198246398
114,0.6164212246098932,1.167097832110012
115,0.6114201174202996,1.1647993561171461
116,0.6067056424308768,1.162660700327251
117,0.6018883312754666,1.1605424574704375
118,0.597065293067135,1.1584611041573225
119,0.5922995075734243,1.1562206180513022
120,0.587473232427479,1.1544766143744345
121,0.5828807379782666,1.1525088620444877
122,0.5782283339875063,1.1504451388627057
123,0.5735622306241809,1.1486441259260756
124,0.5691076220271533,1.1467443343391641
125,0.5646628810012979,1.145084492279275
126,0.5603143162354605,1.1432094935307395
127,0.5559765904540905,1.141614779193478
128,0.5516419517574277,1.1399738007449196
129,0.5473611519214077,1.1383857244375395
130,0.5431967676067836,1.136995237317169
131,0.5389447450446009,1.1352241366091766
132,0.5349354737667211,1.1338414392486447
133,0.530848907035321,1.1320633700664622
134,0.5270624871894584,1.130666080256633
135,0.5232438148287613,1.1294524243241175
136,0.5194013841328255,1.1279847683946718
137,0.5152472642723781,1.126955747094471
138,0.5113525458351831,1.1257368842314464
139,0.5076554747288381,1.1246548246141175
140,0.5039167909067501,1.1235988829022971
141,0.5000547391839236,1.1224191660038196
142,0.49632401896299727,1.1209849699611367
143,0.49254619939959543,1.1197354796284344
144,0.48911438880809804,1.1187263087768224
145,0.48547474893342174,1.1175190541430493
146,0.4819550899564499,1.1165068463359784
147,0.47855167005366334,1.1156279779782927
148,0.4752500944014173,1.1145388100011042
149,0.4718551797859947,1.113677176583442
150,0.46839634453794654,1.112718868725351
151,0.4649465463296067,1.1119831525121118
152,0.4615035707702849,1.1111658466683003
153,0.4581948053073748,1.1102474863523093
154,0.4549515385754473,1.1093405792798148
155,0.45194451758973414,1.1083396281269962
156,0.4487157115097424,1.1076210651941074
157,0.4456087579817921,1.1066367161407833
158,0.44252544458844656,1.1057602107172715
159,0.4393874212702005,1.1050283799842873
160,0.43626626029801885,1.1039967973377498
161,0.43315408174890935,1.1029868581923075
162,0.4299471331844827,1.1022431516577489
163,0.42699576621900115,1.1016563375927217
164,0.42401583324943204,1.1004576749837724
165,0.4211840702974448,1.0998144674031938
166,0.418193633176561,1.0990969011286507
167,0.41520561290771835,1.0984825796262885
168,0.41238746678074156,1.0977546492201509
169,0.4096130236849699,1.09717011850953
170,0.4068530331864687,1.096560769881835
171,0.404049698739781,1.0959635099954175
172,0.4014983422986171,1.0953936754041207
173,0.3987814977360124,1.0948162518853497
174,0.39619247153928017,1.0939882601507998
175,0.39364740185251107,1.0935868038573244
176,0.3909479529276723,1.0929246604566287
177,0.388473267460192,1.0925331787724282
178,0.3858339456643582,1.092179727674884
179,0.383209377391821,1.0919177283065802
